@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
58,retired,married,secondary,no,413,no,no,cellular,27,aug,104,5,-1,0,no
34,management,single,tertiary,no,0,no,no,cellular,21,aug,191,2,-1,0,no
44,technician,married,tertiary,no,1707,no,no,cellular,8,aug,406,3,-1,0,no
39,management,married,tertiary,no,894,yes,no,cellular,20,apr,491,1,326,1,no
39,admin.,married,secondary,no,406,no,no,cellular,30,jul,253,5,-1,0,no
56,services,married,secondary,no,705,yes,no,unknown,29,may,151,2,-1,0,no
41,services,married,unknown,no,88,yes,no,cellular,11,may,105,1,336,2,no
30,blue-collar,married,secondary,no,125,yes,no,unknown,29,may,238,2,-1,0,no
33,blue-collar,married,tertiary,no,1465,no,no,cellular,19,aug,98,4,-1,0,no
46,retired,married,primary,no,-35,yes,no,cellular,7,may,304,3,-1,0,no
58,blue-collar,married,primary,no,73,no,no,unknown,17,jun,116,1,-1,0,no
43,management,married,secondary,no,481,yes,no,telephone,18,nov,164,1,110,2,no
61,housemaid,married,primary,no,848,no,no,cellular,27,apr,605,1,187,1,no
49,admin.,married,primary,no,169,yes,no,cellular,15,may,82,3,-1,0,no
23,admin.,single,secondary,no,5,no,no,unknown,12,may,413,1,-1,0,no
26,services,single,secondary,no,50,yes,no,cellular,12,aug,153,1,-1,0,no
24,blue-collar,married,secondary,no,-254,yes,yes,unknown,27,may,290,2,-1,0,no
59,retired,married,primary,no,46,no,no,cellular,14,aug,78,2,-1,0,no
42,retired,single,tertiary,no,308,no,no,cellular,30,jan,114,2,-1,0,no
40,services,married,secondary,no,771,yes,no,cellular,15,may,173,4,-1,0,no
37,blue-collar,single,secondary,no,48,no,no,cellular,6,may,140,2,-1,0,no
29,blue-collar,single,secondary,no,555,yes,no,cellular,15,may,133,4,-1,0,no
32,student,married,secondary,no,1694,yes,no,cellular,28,jan,929,1,-1,0,no
53,management,married,tertiary,no,4446,yes,no,unknown,14,may,429,1,-1,0,no
43,blue-collar,divorced,primary,no,92,yes,no,unknown,15,may,237,2,-1,0,no
38,technician,married,secondary,no,0,no,no,cellular,28,aug,82,4,-1,0,no
33,admin.,married,secondary,no,220,yes,no,unknown,27,may,345,1,-1,0,no
28,services,single,secondary,no,2685,no,yes,unknown,24,aug,5,1,-1,0,no
26,admin.,divorced,secondary,yes,-3,yes,no,unknown,13,may,181,5,-1,0,no
31,technician,married,secondary,no,589,yes,yes,unknown,21,may,151,1,-1,0,no
38,self-employed,married,secondary,no,746,no,no,unknown,20,jun,256,3,-1,0,no
41,management,married,tertiary,no,140,yes,no,unknown,5,jun,65,3,-1,0,no
43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,no
27,services,single,secondary,no,3354,yes,no,cellular,14,may,493,5,-1,0,no
42,entrepreneur,married,tertiary,no,42045,no,no,cellular,8,aug,205,2,-1,0,no
41,admin.,single,tertiary,no,982,no,no,cellular,23,jul,105,1,-1,0,no
56,blue-collar,married,primary,no,828,yes,no,cellular,14,may,214,1,349,1,no
43,blue-collar,married,primary,no,60,no,no,cellular,8,may,487,2,367,2,no
44,blue-collar,married,secondary,no,508,yes,no,cellular,20,apr,222,1,154,1,no
33,management,single,tertiary,no,23,no,no,cellular,20,aug,216,3,-1,0,no
36,services,married,secondary,no,-11,yes,no,cellular,30,jul,172,28,-1,0,no
35,management,married,tertiary,no,552,yes,yes,cellular,19,nov,314,2,124,1,no
31,services,married,tertiary,no,309,yes,yes,unknown,7,may,294,1,-1,0,no
41,blue-collar,married,primary,no,4,no,no,cellular,23,jul,74,5,-1,0,no
36,blue-collar,married,secondary,no,688,yes,no,unknown,6,may,174,2,-1,0,no
27,student,single,tertiary,no,118,no,no,cellular,25,may,112,1,-1,0,no
37,admin.,married,secondary,no,1123,no,yes,unknown,28,may,138,1,-1,0,no
38,entrepreneur,married,tertiary,no,1514,no,yes,cellular,21,nov,160,3,120,3,no
34,management,single,tertiary,no,178,yes,no,cellular,15,may,14,2,-1,0,no
48,technician,single,tertiary,no,-551,yes,no,cellular,11,may,168,2,-1,0,no
28,blue-collar,single,secondary,no,56,yes,no,unknown,23,may,66,1,-1,0,no
46,blue-collar,married,secondary,no,4855,yes,no,cellular,10,aug,1529,1,397,1,no
35,blue-collar,married,primary,no,3587,yes,no,unknown,30,may,148,4,-1,0,no
37,blue-collar,married,secondary,no,346,yes,no,cellular,17,apr,390,1,316,1,no
54,services,married,secondary,no,88,yes,no,unknown,13,may,190,1,-1,0,no
42,blue-collar,married,secondary,no,2157,yes,no,cellular,13,may,149,1,364,2,no
53,retired,married,secondary,no,6095,yes,yes,cellular,14,may,410,5,-1,0,no
28,management,single,tertiary,no,-328,yes,no,telephone,2,feb,318,2,-1,0,no
59,retired,married,unknown,no,0,no,no,unknown,8,may,425,6,-1,0,no
49,services,married,secondary,no,1114,no,no,cellular,17,nov,283,1,-1,0,no
42,management,married,tertiary,no,520,no,no,cellular,4,nov,158,1,-1,0,no
57,services,married,tertiary,no,10,no,no,telephone,8,jul,320,3,-1,0,no
34,blue-collar,married,secondary,no,1221,yes,no,cellular,6,may,182,1,90,8,no
28,blue-collar,single,secondary,no,6307,yes,no,unknown,28,may,615,1,-1,0,no
53,management,divorced,secondary,no,112,no,yes,cellular,11,aug,246,3,-1,0,no
37,management,married,primary,no,22856,no,no,cellular,2,jul,154,1,388,1,no
37,self-employed,married,tertiary,no,0,no,no,unknown,6,jun,143,1,-1,0,no
