@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
64.765675,management,married,secondary,no,4168.303081,no,no,cellular,11.410511,oct,863.632582,1.99858,17.430003,0.110508,yes
35.441064,blue-collar,single,secondary,no,645.092216,yes,no,cellular,25.338281,may,1395.786381,2.95783,6.617826,0.03821,yes
48,management,married,tertiary,yes,-13,yes,no,cellular,15,may,20,6,291,2,no
47,technician,divorced,tertiary,no,-1148,yes,yes,unknown,27,may,62,2,-1,0,no
36,management,married,tertiary,no,0,yes,no,cellular,28,jan,60,1,250,1,no
52.067352,technician,married,secondary,no,2231.693255,no,no,cellular,9.9027,feb,106.2293,2.224579,70.357058,1.516614,yes
31,blue-collar,married,secondary,no,360,yes,yes,cellular,29,jan,89,1,241,1,no
27,blue-collar,single,primary,no,1128,yes,no,unknown,30,jun,88,4,-1,0,no
36,management,single,tertiary,no,678,no,yes,unknown,4,jul,85,3,-1,0,no
46.197563,services,married,secondary,no,613.198362,yes,no,cellular,15.132994,aug,683.855175,1.282751,-1,0,yes
38,management,married,tertiary,no,3436,no,no,cellular,21,nov,663,4,-1,0,yes
29.612316,blue-collar,single,secondary,no,610.800474,yes,no,cellular,27.46429,may,1391.145889,3.295766,-1,0,yes
51.778525,management,married,secondary,no,1617.035222,no,no,cellular,3.160882,apr,269.767159,1,264.128736,3.22277,yes
43.151337,admin.,married,secondary,no,2405.793777,no,no,cellular,19.837861,oct,247.593179,1.325844,170.577327,2.074126,yes
46.347866,technician,single,secondary,no,-292.409488,yes,no,cellular,23.819182,may,661.046374,1.878793,110.349146,0.7996,yes
32,management,single,tertiary,no,751,yes,no,unknown,8,may,64,1,-1,0,no
48.792045,blue-collar,married,secondary,no,4122.84236,no,no,cellular,7.63934,oct,433.888377,1.618687,77.58415,1.49503,yes
51.389679,admin.,married,secondary,no,2202.528817,no,no,cellular,15.4365,feb,244.426486,1.28806,47.584245,0.642827,yes
60.52865,housemaid,married,primary,no,917.908707,no,no,cellular,12.378665,oct,394.760622,1.945118,-1,0,yes
37,services,single,secondary,no,608,no,no,cellular,14,may,380,3,-1,0,no
53,technician,married,secondary,no,65,no,no,cellular,25,aug,41,2,-1,0,no
36.125835,technician,married,tertiary,no,2687.289237,yes,no,cellular,22.489446,aug,796.453828,1.50059,56.276873,2.445463,yes
43,management,married,secondary,no,17555,no,no,cellular,26,aug,14,14,-1,0,no
28,blue-collar,single,secondary,no,3412,yes,no,cellular,15,may,22,4,-1,0,no
49.198258,management,married,primary,no,3592.335167,no,no,cellular,15.32934,nov,153.973478,1,-1,0,yes
47.235464,technician,married,secondary,no,7038.940046,no,no,cellular,16.674524,aug,479.803968,2.109103,34.95026,2.425124,yes
40,admin.,divorced,secondary,no,212,no,no,unknown,7,jan,176,1,-1,0,no
45.597266,unemployed,married,secondary,no,367.871848,no,no,cellular,19.652759,aug,325.208231,1,86.98977,3.975476,yes
50,management,divorced,tertiary,no,201,yes,no,cellular,24,jul,248,1,-1,0,no
61.175104,technician,married,secondary,no,4279.467616,yes,no,cellular,16.183045,may,857.639101,1.815575,-1,0,yes
40.368796,management,married,secondary,no,1749.551539,no,no,cellular,16.6536,oct,319.590575,1.19011,-1,0,yes
34,admin.,married,secondary,no,5320,no,no,cellular,3,mar,114,6,467,5,no
57.772998,management,married,tertiary,no,5.024545,no,no,cellular,19.512083,oct,197.050772,1.04105,162.287101,5.107929,yes
49.077597,blue-collar,married,secondary,no,4127.140333,no,no,cellular,8.168576,oct,472.787581,1.618687,77.309309,0.052852,yes
57.863811,services,married,secondary,no,178.900927,yes,no,cellular,19.884747,may,1019.340614,3.036608,-1,0,yes
32,self-employed,married,secondary,no,-33,yes,no,unknown,28,may,234,3,-1,0,no
49.024519,blue-collar,married,primary,no,2257.38661,yes,no,cellular,10.114472,jun,1452.848654,8.477199,194.68191,1.577589,yes
35,unemployed,married,secondary,no,977,yes,no,cellular,4,may,52,4,91,1,no
35,admin.,single,tertiary,no,62,no,yes,cellular,30,apr,67,1,-1,0,no
49,blue-collar,married,secondary,no,1568,no,no,unknown,21,may,206,6,-1,0,no
49,entrepreneur,married,secondary,no,687,yes,no,cellular,17,apr,772,1,-1,0,yes
39.210895,technician,married,secondary,no,7066.003462,no,no,cellular,14.715016,aug,672.07374,2.999795,263.219439,2.93968,yes
