@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
29,admin.,single,tertiary,no,14,no,no,cellular,29,sep,87,1,120,1,no
44,management,married,tertiary,no,7635,no,no,cellular,21,aug,719,5,-1,0,no
38,services,married,secondary,no,435,yes,no,unknown,23,may,193,2,-1,0,no
34,technician,married,tertiary,no,544,yes,yes,cellular,18,nov,58,2,-1,0,no
33,blue-collar,divorced,secondary,no,-131,yes,no,unknown,16,may,145,1,-1,0,no
32,technician,single,tertiary,no,930,no,no,cellular,27,aug,85,7,-1,0,no
49,services,married,secondary,no,280,yes,no,telephone,14,jul,162,3,-1,0,no
29,technician,single,secondary,no,778,yes,no,unknown,6,jun,1994,2,-1,0,no
32,management,single,tertiary,no,697,no,no,cellular,7,aug,119,1,99,3,no
43,management,married,secondary,no,-26,yes,no,unknown,16,may,343,1,-1,0,no
45,admin.,married,secondary,no,644,no,yes,telephone,22,jul,92,1,-1,0,no
29,blue-collar,married,secondary,no,125,yes,no,unknown,13,may,50,1,-1,0,no
39,technician,single,secondary,no,122,yes,no,unknown,2,jun,158,1,-1,0,no
34,blue-collar,married,primary,no,351,no,yes,cellular,14,jul,326,11,-1,0,no
57,self-employed,married,secondary,no,35,no,yes,unknown,26,jun,215,3,-1,0,no
51,services,married,secondary,no,0,no,yes,unknown,26,jun,565,3,-1,0,no
32,blue-collar,married,secondary,no,1787,yes,no,cellular,12,may,87,4,357,4,no
59,blue-collar,married,secondary,no,681,yes,no,telephone,14,apr,427,2,-1,0,no
45,admin.,married,secondary,no,-388,yes,no,cellular,14,jul,175,2,-1,0,no
44,management,divorced,tertiary,no,-710,yes,no,cellular,10,jul,183,1,-1,0,no
47,self-employed,married,secondary,no,1121,no,no,unknown,20,jun,454,6,-1,0,no
37,technician,single,secondary,no,435,yes,no,unknown,26,may,210,1,-1,0,no
35,services,married,secondary,no,0,no,yes,telephone,9,jul,42,1,-1,0,no
37,blue-collar,married,secondary,no,685,yes,no,unknown,6,jun,968,1,-1,0,no
59,blue-collar,married,secondary,no,5314,yes,no,cellular,5,may,200,3,-1,0,no
47,entrepreneur,married,tertiary,no,459,yes,no,cellular,29,jul,189,4,-1,0,no
52,services,married,secondary,no,2072,no,no,cellular,10,jul,224,1,-1,0,no
31,management,married,secondary,no,1368,yes,no,cellular,12,aug,129,4,-1,0,no
23,blue-collar,single,primary,no,8627,yes,no,unknown,3,jun,281,1,-1,0,no
35,technician,married,secondary,no,1067,no,yes,cellular,12,aug,179,6,-1,0,no
48,management,married,primary,no,3230,yes,no,telephone,20,nov,207,3,-1,0,no
54,housemaid,divorced,secondary,no,1327,no,no,unknown,5,jun,115,2,-1,0,no
38,admin.,married,tertiary,no,1980,no,no,cellular,5,aug,176,2,-1,0,no
33,technician,married,secondary,no,9305,yes,no,cellular,17,apr,407,2,-1,0,no
28,admin.,single,secondary,no,775,no,no,cellular,29,jan,603,2,-1,0,no
43,management,married,tertiary,no,2886,no,no,cellular,20,nov,230,1,-1,0,no
30,blue-collar,single,secondary,no,648,yes,yes,unknown,8,may,287,1,-1,0,no
40,technician,married,secondary,no,990,yes,no,cellular,6,feb,252,3,-1,0,no
41,blue-collar,married,primary,no,-204,yes,yes,unknown,6,jun,42,1,-1,0,no
27,technician,single,secondary,no,15,yes,no,cellular,25,jul,67,3,-1,0,no
54,blue-collar,married,primary,no,2281,yes,no,unknown,20,jun,158,1,-1,0,no
32,management,single,tertiary,no,11797,yes,no,cellular,11,aug,95,2,-1,0,no
32,blue-collar,married,secondary,no,3514,yes,no,unknown,20,may,226,2,-1,0,no
28,technician,single,tertiary,no,356,no,no,cellular,2,mar,76,2,-1,0,no
48,technician,married,tertiary,no,9207,no,no,cellular,18,aug,445,3,-1,0,no
57,admin.,married,secondary,no,367,no,no,telephone,16,nov,107,2,-1,0,no
37,management,divorced,secondary,no,1287,yes,no,cellular,14,may,432,1,-1,0,no
52,services,divorced,secondary,no,238,yes,no,cellular,6,may,101,1,362,5,no
55,blue-collar,married,primary,no,284,no,yes,telephone,14,jul,252,4,-1,0,no
35,management,married,tertiary,no,24,yes,no,cellular,8,apr,169,1,231,2,no
58,blue-collar,divorced,secondary,no,314,no,no,unknown,25,jun,67,2,-1,0,no
44,services,single,secondary,no,5045,yes,no,cellular,21,nov,20,6,175,15,no
37,blue-collar,divorced,secondary,no,48,yes,no,unknown,8,may,133,2,-1,0,no
34,technician,single,secondary,no,347,yes,no,cellular,6,feb,154,2,197,6,no
33,blue-collar,married,primary,no,925,no,no,cellular,20,nov,884,3,-1,0,no
46,management,married,tertiary,no,523,yes,no,cellular,6,may,105,4,366,2,no
58,management,married,tertiary,no,2764,no,no,cellular,17,nov,235,1,-1,0,no
56,retired,married,secondary,no,3948,no,no,cellular,3,apr,484,1,135,3,no
41,unemployed,married,primary,no,819,no,no,cellular,9,feb,244,3,-1,0,no
59,technician,divorced,secondary,no,879,yes,no,unknown,26,may,228,1,-1,0,no
55,unemployed,married,tertiary,no,4809,yes,no,cellular,21,nov,223,2,186,3,no
29,services,married,primary,no,-102,no,no,unknown,4,jul,134,1,-1,0,no
37,blue-collar,married,secondary,no,342,yes,no,cellular,12,may,340,2,175,1,no
36,blue-collar,single,tertiary,no,1830,no,no,cellular,14,oct,183,1,91,11,no
44,management,married,tertiary,no,332,yes,no,cellular,23,jul,497,5,-1,0,no
43,blue-collar,married,primary,no,232,no,yes,cellular,15,may,45,1,-1,0,no
35,management,single,secondary,no,81,yes,no,cellular,29,jan,79,1,-1,0,no
53,technician,married,tertiary,no,3177,no,no,cellular,8,aug,92,2,-1,0,no
31,technician,single,unknown,no,187,no,no,cellular,17,jul,86,1,-1,0,no
36,admin.,single,secondary,no,1927,yes,no,cellular,18,nov,288,1,137,1,no
37,technician,married,secondary,yes,0,no,no,unknown,18,jun,236,1,-1,0,no
52,blue-collar,married,primary,no,2,no,no,unknown,9,jun,70,3,-1,0,no
32,services,married,secondary,no,1464,yes,no,unknown,3,jun,193,1,-1,0,no
39,self-employed,married,tertiary,no,585,yes,no,cellular,18,nov,48,1,181,3,no
32,services,married,secondary,no,55,yes,no,unknown,15,may,546,9,-1,0,no
34,admin.,married,secondary,no,50,yes,no,unknown,20,may,89,2,-1,0,no
35,management,single,tertiary,no,71,yes,no,unknown,21,may,836,12,-1,0,no
26,services,single,secondary,no,512,yes,yes,cellular,30,jan,206,5,239,3,no
36,services,married,secondary,no,338,no,no,unknown,14,may,90,1,-1,0,no
38,entrepreneur,married,tertiary,no,228,yes,no,cellular,5,feb,105,1,-1,0,no
30,technician,single,secondary,no,790,no,no,cellular,20,aug,696,3,-1,0,no
35,technician,married,secondary,no,327,yes,no,cellular,13,apr,537,3,-1,0,no
57,services,divorced,secondary,no,14,no,yes,cellular,22,jul,445,2,-1,0,no
30,management,married,tertiary,no,877,no,no,cellular,13,aug,202,1,83,5,no
43,self-employed,married,secondary,no,104,no,no,unknown,17,jun,332,1,-1,0,no
51,entrepreneur,married,secondary,yes,-2082,no,yes,cellular,28,jul,123,6,-1,0,no
53,technician,married,tertiary,no,6072,no,yes,unknown,16,jun,226,4,-1,0,no
36,services,married,secondary,no,3064,yes,no,telephone,11,may,1143,4,-1,0,no
58,management,married,secondary,no,407,yes,no,cellular,29,jul,145,2,-1,0,no
42,blue-collar,divorced,secondary,no,1491,yes,no,cellular,6,may,203,2,334,2,no
32,technician,single,secondary,no,6402,yes,no,cellular,6,may,158,1,167,1,no
32,management,married,tertiary,no,62,yes,no,cellular,14,may,166,1,-1,0,no
26,management,single,tertiary,no,122,no,yes,cellular,8,jul,160,1,-1,0,no
33,admin.,divorced,secondary,no,661,yes,no,cellular,18,nov,411,1,173,2,no
26,services,single,secondary,no,0,no,no,cellular,29,jul,165,23,-1,0,no
33,management,married,secondary,no,11,yes,no,cellular,4,may,104,3,-1,0,no
45,blue-collar,married,primary,no,907,no,no,cellular,18,aug,230,8,-1,0,no
29,entrepreneur,single,secondary,no,404,no,no,cellular,30,jan,413,3,-1,0,no
47,management,married,tertiary,no,-50,no,yes,cellular,7,jul,175,1,-1,0,no
48,management,married,tertiary,no,363,no,no,cellular,18,nov,67,1,-1,0,no
31,services,single,secondary,no,864,yes,no,cellular,6,may,100,1,-1,0,no
38,blue-collar,married,primary,no,1327,yes,no,cellular,20,nov,277,1,-1,0,no
58,retired,married,secondary,no,425,yes,yes,cellular,17,nov,100,1,-1,0,no
52,technician,married,tertiary,no,214,no,no,cellular,29,aug,161,3,-1,0,no
29,services,married,secondary,no,57,yes,no,telephone,21,jul,342,9,-1,0,no
34,self-employed,married,primary,no,712,yes,no,unknown,2,jun,326,3,-1,0,no
36,management,single,tertiary,no,1531,yes,no,cellular,8,may,81,3,170,1,no
49,unemployed,divorced,tertiary,no,780,no,no,cellular,8,nov,148,1,871,2,no
34,admin.,married,secondary,no,1671,no,no,unknown,21,may,160,1,-1,0,no
34,management,single,unknown,no,1534,yes,no,cellular,16,apr,156,1,147,7,no
42,blue-collar,divorced,secondary,no,47,yes,yes,unknown,8,may,141,1,-1,0,no
49,services,married,secondary,no,47,no,no,unknown,5,may,234,2,-1,0,no
46,management,single,tertiary,no,46,no,yes,cellular,17,nov,80,1,152,1,no
42,blue-collar,married,secondary,no,0,yes,no,cellular,21,nov,328,6,-1,0,no
24,blue-collar,single,unknown,no,431,yes,no,unknown,3,jun,108,12,-1,0,no
41,services,married,secondary,no,171,no,no,cellular,21,jul,71,9,-1,0,no
30,technician,married,secondary,no,616,yes,no,cellular,6,may,19,1,-1,0,no
50,management,married,tertiary,no,1240,no,no,cellular,12,aug,474,2,-1,0,no
47,services,divorced,secondary,no,4906,yes,no,unknown,14,may,389,1,-1,0,no
42,blue-collar,married,primary,no,2111,yes,no,cellular,7,may,86,2,-1,0,no
28,blue-collar,married,secondary,no,4287,no,no,cellular,30,apr,171,1,-1,0,no
31,services,single,secondary,no,469,no,yes,cellular,2,feb,111,1,-1,0,no
32,technician,married,secondary,no,4,no,no,cellular,4,feb,145,2,260,4,no
26,management,single,tertiary,no,-8,no,no,cellular,13,aug,402,2,-1,0,no
34,management,married,tertiary,no,0,no,no,cellular,20,aug,263,2,-1,0,no
48,admin.,married,secondary,no,292,yes,yes,cellular,29,jul,164,6,-1,0,no
34,management,married,tertiary,no,697,no,no,cellular,5,aug,166,1,-1,0,no
44,services,divorced,secondary,no,0,yes,no,unknown,4,jun,389,5,-1,0,no
